pickup_zone,dropoff_zone,time_interval,pickup_lon,pickup_lat,dropoff_lon,dropoff_lat,color,n
East Harlem North,Central Harlem,20,-73.9464769,40.8115504,-73.9538699,40.7988378,green,2259
Central Harlem,Central Harlem,8,-73.9538699,40.7988378,-73.9538699,40.7988378,green,2232
Astoria,Astoria,18,-73.9234619,40.7643574,-73.9234619,40.7643574,green,2126
Central Harlem,Central Harlem,12,-73.9538699,40.7988378,-73.9538699,40.7988378,green,2081
Astoria,Steinway,18,-73.9234619,40.7643574,-73.9124667,40.7669996,green,2078
Central Harlem,Central Harlem,10,-73.9538699,40.7988378,-73.9538699,40.7988378,green,2064
East Harlem North,Hamilton Heights,18,-73.9464769,40.8115504,-73.9496079,40.8259597,green,2014
East Harlem North,Central Harlem,12,-73.9464769,40.8115504,-73.9538699,40.7988378,green,2011
Astoria,Astoria,20,-73.9234619,40.7643574,-73.9234619,40.7643574,green,1936
East Harlem North,Central Harlem,10,-73.9464769,40.8115504,-73.9538699,40.7988378,green,1934
Astoria,Steinway,20,-73.9234619,40.7643574,-73.9124667,40.7669996,green,1924
Astoria,Steinway,22,-73.9234619,40.7643574,-73.9124667,40.7669996,green,1916
Astoria,Astoria,16,-73.9234619,40.7643574,-73.9234619,40.7643574,green,1912
Elmhurst/Maspeth,Jackson Heights,22,-73.8932385,40.7395973,-73.8830701,40.7556818,green,1877
East Harlem North,Hamilton Heights,20,-73.9464769,40.8115504,-73.9496079,40.8259597,green,1812
Elmhurst/Maspeth,Jackson Heights,0,-73.8932385,40.7395973,-73.8830701,40.7556818,green,1811
Central Harlem,Central Harlem,20,-73.9538699,40.7988378,-73.9538699,40.7988378,green,1802
East Harlem North,Hamilton Heights,16,-73.9464769,40.8115504,-73.9496079,40.8259597,green,1793
East Harlem North,East Harlem North,0,-73.9464769,40.8115504,-73.9464769,40.8115504,green,1770
Central Harlem,Yorkville East,16,-73.9538699,40.7988378,-73.9492079,40.7762231,green,1767
Central Harlem,East Harlem North,22,-73.9538699,40.7988378,-73.9464769,40.8115504,green,1736
East Harlem North,Central Harlem,22,-73.9464769,40.8115504,-73.9538699,40.7988378,green,1732
Central Harlem,Yorkville East,18,-73.9538699,40.7988378,-73.9492079,40.7762231,green,1714
Astoria,Astoria,22,-73.9234619,40.7643574,-73.9234619,40.7643574,green,1699
Elmhurst/Maspeth,Jackson Heights,18,-73.8932385,40.7395973,-73.8830701,40.7556818,green,1614
Steinway,Steinway,18,-73.9124667,40.7669996,-73.9124667,40.7669996,green,1576
Williamsburg (North Side),Greenpoint,22,-73.9634429,40.7190424,-73.9418603,40.7245448,green,1569
Astoria,Steinway,16,-73.9234619,40.7643574,-73.9124667,40.7669996,green,1560
Steinway,Steinway,20,-73.9124667,40.7669996,-73.9124667,40.7669996,green,1559
Central Harlem,Bloomingdale,16,-73.9538699,40.7988378,-73.9697795,40.7988958,green,1554
East Harlem North,Morningside Heights,8,-73.9464769,40.8115504,-73.9624327,40.8089564,green,1551
Elmhurst/Maspeth,Jackson Heights,20,-73.8932385,40.7395973,-73.8830701,40.7556818,green,1536
East Harlem North,Hamilton Heights,22,-73.9464769,40.8115504,-73.9496079,40.8259597,green,1530
Astoria,Steinway,0,-73.9234619,40.7643574,-73.9124667,40.7669996,green,1527
Williamsburg (North Side),Williamsburg (South Side),0,-73.9634429,40.7190424,-73.9517335,40.7079936,green,1527
Astoria,Astoria,14,-73.9234619,40.7643574,-73.9234619,40.7643574,green,1518
Williamsburg (North Side),Greenpoint,20,-73.9634429,40.7190424,-73.9418603,40.7245448,green,1477
East Harlem North,East Harlem North,6,-73.9464769,40.8115504,-73.9464769,40.8115504,green,1474
East Harlem North,Yorkville East,18,-73.9464769,40.8115504,-73.9492079,40.7762231,green,1454
Williamsburg (North Side),Williamsburg (South Side),22,-73.9634429,40.7190424,-73.9517335,40.7079936,green,1450
East Harlem North,Hamilton Heights,14,-73.9464769,40.8115504,-73.9496079,40.8259597,green,1410
Central Harlem,Upper East Side North,16,-73.9538699,40.7988378,-73.9565551,40.7735649,green,1384
Steinway,Steinway,22,-73.9124667,40.7669996,-73.9124667,40.7669996,green,1368
Astoria,Astoria,12,-73.9234619,40.7643574,-73.9234619,40.7643574,green,1365
Williamsburg (North Side),Greenpoint,0,-73.9634429,40.7190424,-73.9418603,40.7245448,green,1362
Williamsburg (North Side),Williamsburg (North Side),20,-73.9634429,40.7190424,-73.9634429,40.7190424,green,1350
Williamsburg (North Side),Williamsburg (North Side),18,-73.9634429,40.7190424,-73.9634429,40.7190424,green,1340
Williamsburg (North Side),Williamsburg (North Side),22,-73.9634429,40.7190424,-73.9634429,40.7190424,green,1317
East Harlem North,Central Harlem,6,-73.9464769,40.8115504,-73.9538699,40.7988378,green,1313
Central Harlem,Upper East Side North,18,-73.9538699,40.7988378,-73.9565551,40.7735649,green,1300
Central Harlem,Bloomingdale,18,-73.9538699,40.7988378,-73.9697795,40.7988958,green,1293
Williamsburg (North Side),Greenpoint,18,-73.9634429,40.7190424,-73.9418603,40.7245448,green,1293
Central Harlem,Central Harlem,22,-73.9538699,40.7988378,-73.9538699,40.7988378,green,1289
Astoria,Astoria,0,-73.9234619,40.7643574,-73.9234619,40.7643574,green,1288
Steinway,Steinway,16,-73.9124667,40.7669996,-73.9124667,40.7669996,green,1286
Central Harlem,Yorkville East,14,-73.9538699,40.7988378,-73.9492079,40.7762231,green,1234
Williamsburg (North Side),Williamsburg (North Side),0,-73.9634429,40.7190424,-73.9634429,40.7190424,green,1214
Central Harlem,East Harlem North,6,-73.9538699,40.7988378,-73.9464769,40.8115504,green,1201
Williamsburg (North Side),Williamsburg (South Side),2,-73.9634429,40.7190424,-73.9517335,40.7079936,green,1196
East Harlem North,Hamilton Heights,12,-73.9464769,40.8115504,-73.9496079,40.8259597,green,1184
Astoria,Astoria,10,-73.9234619,40.7643574,-73.9234619,40.7643574,green,1179
Central Harlem,Upper East Side North,14,-73.9538699,40.7988378,-73.9565551,40.7735649,green,1178
Hamilton Heights,East Harlem North,8,-73.9496079,40.8259597,-73.9464769,40.8115504,green,1169
Astoria,Steinway,14,-73.9234619,40.7643574,-73.9124667,40.7669996,green,1158
Elmhurst/Maspeth,Jackson Heights,16,-73.8932385,40.7395973,-73.8830701,40.7556818,green,1157
East Harlem North,Yorkville East,20,-73.9464769,40.8115504,-73.9492079,40.7762231,green,1147
East Harlem North,Hamilton Heights,0,-73.9464769,40.8115504,-73.9496079,40.8259597,green,1144
East Harlem North,Central Harlem,0,-73.9464769,40.8115504,-73.9538699,40.7988378,green,1136
Central Harlem,Yorkville East,12,-73.9538699,40.7988378,-73.9492079,40.7762231,green,1131
Central Harlem,Upper East Side North,12,-73.9538699,40.7988378,-73.9565551,40.7735649,green,1116
Central Harlem,Yorkville East,20,-73.9538699,40.7988378,-73.9492079,40.7762231,green,1108
East Harlem North,Yorkville East,16,-73.9464769,40.8115504,-73.9492079,40.7762231,green,1102
Forest Hills,Forest Hills,18,-73.8448469,40.718106,-73.8448469,40.718106,green,1100
Steinway,Astoria,18,-73.9124667,40.7669996,-73.9234619,40.7643574,green,1086
Steinway,Steinway,0,-73.9124667,40.7669996,-73.9124667,40.7669996,green,1080
Central Harlem,Upper East Side North,10,-73.9538699,40.7988378,-73.9565551,40.7735649,green,1072
Central Harlem,Yorkville East,10,-73.9538699,40.7988378,-73.9492079,40.7762231,green,1069
Williamsburg (North Side),Williamsburg (South Side),20,-73.9634429,40.7190424,-73.9517335,40.7079936,green,1062
Central Harlem,Upper West Side North,16,-73.9538699,40.7988378,-73.9753676,40.7870106,green,1061
Central Harlem,Morningside Heights,8,-73.9538699,40.7988378,-73.9624327,40.8089564,green,1048
Central Harlem,Bloomingdale,14,-73.9538699,40.7988378,-73.9697795,40.7988958,green,1045
Morningside Heights,Upper West Side North,16,-73.9624327,40.8089564,-73.9753676,40.7870106,green,1035
Central Harlem,East Harlem North,0,-73.9538699,40.7988378,-73.9464769,40.8115504,green,1031
Steinway,Steinway,8,-73.9124667,40.7669996,-73.9124667,40.7669996,green,1016
Steinway,Steinway,14,-73.9124667,40.7669996,-73.9124667,40.7669996,green,1015
Central Harlem,Randalls Island,16,-73.9538699,40.7988378,-73.9271644,40.7891291,green,1011
Elmhurst/Maspeth,Jackson Heights,2,-73.8932385,40.7395973,-73.8830701,40.7556818,green,1011
East Harlem North,Bloomingdale,18,-73.9464769,40.8115504,-73.9697795,40.7988958,green,1008
Steinway,Astoria,20,-73.9124667,40.7669996,-73.9234619,40.7643574,green,994
Morningside Heights,East Harlem North,16,-73.9624327,40.8089564,-73.9464769,40.8115504,green,992
Central Harlem,Randalls Island,18,-73.9538699,40.7988378,-73.9271644,40.7891291,green,984
Williamsburg (North Side),Long Island City/Hunters Point,22,-73.9634429,40.7190424,-73.95639,40.74128,green,983
Hamilton Heights,East Harlem North,10,-73.9496079,40.8259597,-73.9464769,40.8115504,green,980
Central Harlem,Upper East Side North,8,-73.9538699,40.7988378,-73.9565551,40.7735649,green,974
East Harlem North,Hamilton Heights,10,-73.9464769,40.8115504,-73.9496079,40.8259597,green,971
Astoria,Steinway,12,-73.9234619,40.7643574,-73.9124667,40.7669996,green,958
Central Harlem,Upper West Side North,18,-73.9538699,40.7988378,-73.9753676,40.7870106,green,958
Steinway,Astoria,16,-73.9124667,40.7669996,-73.9234619,40.7643574,green,955
East Harlem North,Morningside Heights,10,-73.9464769,40.8115504,-73.9624327,40.8089564,green,952
Astoria,Astoria,8,-73.9234619,40.7643574,-73.9234619,40.7643574,green,948
Hamilton Heights,East Harlem North,16,-73.9496079,40.8259597,-73.9464769,40.8115504,green,944
Steinway,Astoria,22,-73.9124667,40.7669996,-73.9234619,40.7643574,green,941
Morningside Heights,Bloomingdale,16,-73.9624327,40.8089564,-73.9697795,40.7988958,green,934
Forest Hills,Forest Hills,20,-73.8448469,40.718106,-73.8448469,40.718106,green,933
Hamilton Heights,East Harlem North,18,-73.9496079,40.8259597,-73.9464769,40.8115504,green,931
Central Harlem,Yorkville East,8,-73.9538699,40.7988378,-73.9492079,40.7762231,green,927
Central Harlem,Central Harlem,6,-73.9538699,40.7988378,-73.9538699,40.7988378,green,923
East Harlem North,East Harlem North,2,-73.9464769,40.8115504,-73.9464769,40.8115504,green,912
East Harlem North,Manhattanville,18,-73.9464769,40.8115504,-73.9558333,40.8169443,green,912
Williamsburg (North Side),Long Island City/Hunters Point,20,-73.9634429,40.7190424,-73.95639,40.74128,green,909
Elmhurst/Maspeth,Elmhurst,0,-73.8932385,40.7395973,-73.8801301,40.737975,green,907
Hamilton Heights,East Harlem North,14,-73.9496079,40.8259597,-73.9464769,40.8115504,green,907
Morningside Heights,Upper West Side North,18,-73.9624327,40.8089564,-73.9753676,40.7870106,green,897
Williamsburg (North Side),Bushwick North,0,-73.9634429,40.7190424,-73.9212858,40.6944282,green,894
Boerum Hill,Park Slope,18,-73.9844722,40.6848689,-73.9805817,40.6681038,green,891
Jackson Heights,Jackson Heights,0,-73.8830701,40.7556818,-73.8830701,40.7556818,green,890
East Harlem North,Morningside Heights,16,-73.9464769,40.8115504,-73.9624327,40.8089564,green,882
Jackson Heights,Jackson Heights,2,-73.8830701,40.7556818,-73.8830701,40.7556818,green,880
Jackson Heights,Jackson Heights,18,-73.8830701,40.7556818,-73.8830701,40.7556818,green,874
Marine Park/Floyd Bennett Field,Marine Park/Floyd Bennett Field,18,-73.9441579,40.6781784,-73.9441579,40.6781784,green,874
East Harlem North,Bloomingdale,16,-73.9464769,40.8115504,-73.9697795,40.7988958,green,869
Central Harlem,Bloomingdale,20,-73.9538699,40.7988378,-73.9697795,40.7988958,green,867
Morningside Heights,East Harlem North,18,-73.9624327,40.8089564,-73.9464769,40.8115504,green,865
Williamsburg (North Side),Bushwick North,2,-73.9634429,40.7190424,-73.9212858,40.6944282,green,860
Jackson Heights,North Corona,2,-73.8830701,40.7556818,-73.8624893,40.7502698,green,858
Steinway,Steinway,10,-73.9124667,40.7669996,-73.9124667,40.7669996,green,854
Astoria,Astoria,2,-73.9234619,40.7643574,-73.9234619,40.7643574,green,846
Astoria,Steinway,2,-73.9234619,40.7643574,-73.9124667,40.7669996,green,843
Hamilton Heights,East Harlem North,12,-73.9496079,40.8259597,-73.9464769,40.8115504,green,842
East Harlem North,Upper West Side North,18,-73.9464769,40.8115504,-73.9753676,40.7870106,green,836
Morningside Heights,Bloomingdale,18,-73.9624327,40.8089564,-73.9697795,40.7988958,green,828
Williamsburg (South Side),Bushwick North,0,-73.9517335,40.7079936,-73.9212858,40.6944282,green,824
Elmhurst/Maspeth,Jackson Heights,14,-73.8932385,40.7395973,-73.8830701,40.7556818,green,823
Williamsburg (North Side),Williamsburg (North Side),2,-73.9634429,40.7190424,-73.9634429,40.7190424,green,823
Jackson Heights,North Corona,4,-73.8830701,40.7556818,-73.8624893,40.7502698,green,821
Steinway,Astoria Park,18,-73.9124667,40.7669996,-73.9215888,40.7796684,green,818
East Harlem North,Bloomingdale,20,-73.9464769,40.8115504,-73.9697795,40.7988958,green,814
East Harlem North,Manhattanville,16,-73.9464769,40.8115504,-73.9558333,40.8169443,green,814
Steinway,Steinway,12,-73.9124667,40.7669996,-73.9124667,40.7669996,green,812
Central Harlem,Randalls Island,14,-73.9538699,40.7988378,-73.9271644,40.7891291,green,811
Forest Hills,Rego Park,18,-73.8448469,40.718106,-73.8624893,40.7255722,green,811
Williamsburg (North Side),Long Island City/Hunters Point,18,-73.9634429,40.7190424,-73.95639,40.74128,green,808
Williamsburg (North Side),Williamsburg (South Side),18,-73.9634429,40.7190424,-73.9517335,40.7079936,green,808
Williamsburg (South Side),Williamsburg (South Side),0,-73.9517335,40.7079936,-73.9517335,40.7079936,green,807
East Harlem North,Yorkville East,14,-73.9464769,40.8115504,-73.9492079,40.7762231,green,802
Hamilton Heights,Hamilton Heights,18,-73.9496079,40.8259597,-73.9496079,40.8259597,green,802
Jackson Heights,Jackson Heights,22,-73.8830701,40.7556818,-73.8830701,40.7556818,green,802
East Harlem North,Morningside Heights,14,-73.9464769,40.8115504,-73.9624327,40.8089564,green,801
Williamsburg (North Side),Long Island City/Hunters Point,0,-73.9634429,40.7190424,-73.95639,40.74128,green,800
East Harlem North,Upper East Side North,18,-73.9464769,40.8115504,-73.9565551,40.7735649,green,795
Williamsburg (North Side),Greenpoint,2,-73.9634429,40.7190424,-73.9418603,40.7245448,green,792
Steinway,Astoria,8,-73.9124667,40.7669996,-73.9234619,40.7643574,green,789
Williamsburg (South Side),Bushwick North,2,-73.9517335,40.7079936,-73.9212858,40.6944282,green,788
Williamsburg (North Side),Williamsburg (North Side),16,-73.9634429,40.7190424,-73.9634429,40.7190424,green,786
Central Harlem,Upper West Side North,14,-73.9538699,40.7988378,-73.9753676,40.7870106,green,785
Astoria,Steinway,10,-73.9234619,40.7643574,-73.9124667,40.7669996,green,784
Park Slope,Park Slope,18,-73.9805817,40.6681038,-73.9805817,40.6681038,green,783
Hamilton Heights,East Harlem North,20,-73.9496079,40.8259597,-73.9464769,40.8115504,green,779
Steinway,Astoria Park,20,-73.9124667,40.7669996,-73.9215888,40.7796684,green,774
East Harlem North,Hamilton Heights,8,-73.9464769,40.8115504,-73.9496079,40.8259597,green,771
Forest Hills,Forest Hills,16,-73.8448469,40.718106,-73.8448469,40.718106,green,769
Morningside Heights,Upper West Side North,14,-73.9624327,40.8089564,-73.9753676,40.7870106,green,769
Central Harlem,Bloomingdale,12,-73.9538699,40.7988378,-73.9697795,40.7988958,green,766
Manhattanville,East Harlem North,8,-73.9558333,40.8169443,-73.9464769,40.8115504,green,766
Williamsburg (South Side),Williamsburg (South Side),22,-73.9517335,40.7079936,-73.9517335,40.7079936,green,766
Boerum Hill,Park Slope,20,-73.9844722,40.6848689,-73.9805817,40.6681038,green,762
Jackson Heights,Jackson Heights,20,-73.8830701,40.7556818,-73.8830701,40.7556818,green,761
East Harlem North,Morningside Heights,12,-73.9464769,40.8115504,-73.9624327,40.8089564,green,754
Central Harlem,Bloomingdale,10,-73.9538699,40.7988378,-73.9697795,40.7988958,green,752
Park Slope,Park Slope,16,-73.9805817,40.6681038,-73.9805817,40.6681038,green,745
East Harlem North,Morningside Heights,18,-73.9464769,40.8115504,-73.9624327,40.8089564,green,744
Elmhurst/Maspeth,Elmhurst,22,-73.8932385,40.7395973,-73.8801301,40.737975,green,742
Morningside Heights,East Harlem North,20,-73.9624327,40.8089564,-73.9464769,40.8115504,green,741
Steinway,Astoria,0,-73.9124667,40.7669996,-73.9234619,40.7643574,green,737
Central Harlem,Central Harlem,0,-73.9538699,40.7988378,-73.9538699,40.7988378,green,736
Central Harlem,Hamilton Heights,20,-73.9538699,40.7988378,-73.9496079,40.8259597,green,736
Jackson Heights,Jackson Heights,16,-73.8830701,40.7556818,-73.8830701,40.7556818,green,735
Boerum Hill,Prospect Heights,18,-73.9844722,40.6848689,-73.9668408,40.6774196,green,733
Marine Park/Floyd Bennett Field,Marine Park/Floyd Bennett Field,20,-73.9441579,40.6781784,-73.9441579,40.6781784,green,732
East Harlem North,Manhattanville,8,-73.9464769,40.8115504,-73.9558333,40.8169443,green,728
Hamilton Heights,Hamilton Heights,16,-73.9496079,40.8259597,-73.9496079,40.8259597,green,728
Central Harlem,Morningside Heights,14,-73.9538699,40.7988378,-73.9624327,40.8089564,green,726
East Harlem North,Manhattanville,20,-73.9464769,40.8115504,-73.9558333,40.8169443,green,726
Steinway,Astoria,14,-73.9124667,40.7669996,-73.9234619,40.7643574,green,725
Central Harlem,Bloomingdale,8,-73.9538699,40.7988378,-73.9697795,40.7988958,green,718
East Harlem North,Yorkville East,22,-73.9464769,40.8115504,-73.9492079,40.7762231,green,718
Williamsburg (North Side),Greenpoint,16,-73.9634429,40.7190424,-73.9418603,40.7245448,green,713
Central Harlem,Hamilton Heights,18,-73.9538699,40.7988378,-73.9496079,40.8259597,green,710
Jackson Heights,Jackson Heights,4,-73.8830701,40.7556818,-73.8830701,40.7556818,green,708
Central Harlem,Upper West Side North,10,-73.9538699,40.7988378,-73.9753676,40.7870106,green,707
Central Harlem,Hamilton Heights,16,-73.9538699,40.7988378,-73.9496079,40.8259597,green,704
Morningside Heights,Bloomingdale,14,-73.9624327,40.8089564,-73.9697795,40.7988958,green,704
Steinway,Astoria,10,-73.9124667,40.7669996,-73.9234619,40.7643574,green,700
Steinway,Astoria,12,-73.9124667,40.7669996,-73.9234619,40.7643574,green,698
Marine Park/Floyd Bennett Field,Marine Park/Floyd Bennett Field,16,-73.9441579,40.6781784,-73.9441579,40.6781784,green,697
Boerum Hill,Clinton Hill,18,-73.9844722,40.6848689,-73.9639021,40.6893665,green,696
Central Harlem,Morningside Heights,16,-73.9538699,40.7988378,-73.9624327,40.8089564,green,696
Forest Hills,Rego Park,20,-73.8448469,40.718106,-73.8624893,40.7255722,green,694
Central Harlem,Randalls Island,20,-73.9538699,40.7988378,-73.9271644,40.7891291,green,693
Central Harlem,Randalls Island,12,-73.9538699,40.7988378,-73.9271644,40.7891291,green,688
East Harlem North,Bloomingdale,14,-73.9464769,40.8115504,-73.9697795,40.7988958,green,688
Hamilton Heights,Hamilton Heights,14,-73.9496079,40.8259597,-73.9496079,40.8259597,green,687
Central Harlem,Upper West Side North,8,-73.9538699,40.7988378,-73.9753676,40.7870106,green,684
Astoria,Astoria Park,18,-73.9234619,40.7643574,-73.9215888,40.7796684,green,683
East Harlem North,Upper West Side North,16,-73.9464769,40.8115504,-73.9753676,40.7870106,green,683
East Harlem North,Manhattanville,14,-73.9464769,40.8115504,-73.9558333,40.8169443,green,678
Steinway,Astoria Park,22,-73.9124667,40.7669996,-73.9215888,40.7796684,green,676
Central Harlem,Morningside Heights,10,-73.9538699,40.7988378,-73.9624327,40.8089564,green,675
Boerum Hill,Prospect Heights,20,-73.9844722,40.6848689,-73.9668408,40.6774196,green,673
Hamilton Heights,Hamilton Heights,20,-73.9496079,40.8259597,-73.9496079,40.8259597,green,672
Morningside Heights,East Harlem North,14,-73.9624327,40.8089564,-73.9464769,40.8115504,green,671
Steinway,Steinway,2,-73.9124667,40.7669996,-73.9124667,40.7669996,green,670
Marine Park/Floyd Bennett Field,Marine Park/Floyd Bennett Field,22,-73.9441579,40.6781784,-73.9441579,40.6781784,green,669
Central Harlem,Upper West Side North,12,-73.9538699,40.7988378,-73.9753676,40.7870106,green,663
East Harlem North,Yorkville East,12,-73.9464769,40.8115504,-73.9492079,40.7762231,green,661
Morningside Heights,Central Harlem,16,-73.9624327,40.8089564,-73.9538699,40.7988378,green,657
Hamilton Heights,Hamilton Heights,8,-73.9496079,40.8259597,-73.9496079,40.8259597,green,654
Elmhurst/Maspeth,Woodside,18,-73.8932385,40.7395973,-73.9036487,40.7512123,green,653
Central Harlem,Yorkville East,22,-73.9538699,40.7988378,-73.9492079,40.7762231,green,651
Williamsburg (North Side),Bushwick North,22,-73.9634429,40.7190424,-73.9212858,40.6944282,green,650
Forest Hills,Forest Hills,22,-73.8448469,40.718106,-73.8448469,40.718106,green,649
East Harlem North,Upper East Side North,16,-73.9464769,40.8115504,-73.9565551,40.7735649,green,647
Central Harlem,Upper West Side North,20,-73.9538699,40.7988378,-73.9753676,40.7870106,green,643
Forest Hills,Rego Park,22,-73.8448469,40.718106,-73.8624893,40.7255722,green,643
Central Harlem,Upper East Side North,20,-73.9538699,40.7988378,-73.9565551,40.7735649,green,641
Central Harlem,Hamilton Heights,22,-73.9538699,40.7988378,-73.9496079,40.8259597,green,640
Boerum Hill,Boerum Hill,18,-73.9844722,40.6848689,-73.9844722,40.6848689,green,639
Williamsburg (North Side),South Williamsburg,22,-73.9634429,40.7190424,-73.9701967,40.7085692,green,638
Central Harlem,Morningside Heights,18,-73.9538699,40.7988378,-73.9624327,40.8089564,green,636
Central Harlem,Morningside Heights,12,-73.9538699,40.7988378,-73.9624327,40.8089564,green,635
Downtown Brooklyn/MetroTech,Fort Greene,18,-73.9861433,40.6942409,-73.9741874,40.6920638,green,632
Manhattanville,East Harlem North,16,-73.9558333,40.8169443,-73.9464769,40.8115504,green,631
Hamilton Heights,Hamilton Heights,10,-73.9496079,40.8259597,-73.9496079,40.8259597,green,629
Morningside Heights,Morningside Heights,16,-73.9624327,40.8089564,-73.9624327,40.8089564,green,628
Williamsburg (North Side),South Williamsburg,20,-73.9634429,40.7190424,-73.9701967,40.7085692,green,628
Fort Greene,Clinton Hill,18,-73.9741874,40.6920638,-73.9639021,40.6893665,green,623
Brooklyn Heights,Cobble Hill,18,-73.9932872,40.6960105,-73.9962255,40.686536,green,622
Boerum Hill,Prospect Heights,22,-73.9844722,40.6848689,-73.9668408,40.6774196,green,619
Williamsburg (South Side),Williamsburg (South Side),2,-73.9517335,40.7079936,-73.9517335,40.7079936,green,619
Williamsburg (South Side),Greenpoint,0,-73.9517335,40.7079936,-73.9418603,40.7245448,green,618
Manhattanville,East Harlem North,18,-73.9558333,40.8169443,-73.9464769,40.8115504,green,615
Astoria,Astoria Park,20,-73.9234619,40.7643574,-73.9215888,40.7796684,green,613
Williamsburg (North Side),South Williamsburg,18,-73.9634429,40.7190424,-73.9701967,40.7085692,green,608
Randalls Island,Central Harlem,8,-73.9271644,40.7891291,-73.9538699,40.7988378,green,606
Central Harlem,Bloomingdale,22,-73.9538699,40.7988378,-73.9697795,40.7988958,green,604
Hamilton Heights,Hamilton Heights,22,-73.9496079,40.8259597,-73.9496079,40.8259597,green,604
Williamsburg (South Side),Stuyvesant Heights,0,-73.9517335,40.7079936,-73.9330981,40.6882279,green,604
Boerum Hill,Park Slope,22,-73.9844722,40.6848689,-73.9805817,40.6681038,green,603
East Harlem North,Randalls Island,18,-73.9464769,40.8115504,-73.9271644,40.7891291,green,603
Jackson Heights,Jackson Heights,14,-73.8830701,40.7556818,-73.8830701,40.7556818,green,601
Elmhurst/Maspeth,Corona,0,-73.8932385,40.7395973,-73.8642613,40.7449859,green,597
Elmhurst/Maspeth,Woodside,22,-73.8932385,40.7395973,-73.9036487,40.7512123,green,596
Forest Hills,Rego Park,16,-73.8448469,40.718106,-73.8624893,40.7255722,green,591
Jackson Heights,North Corona,0,-73.8830701,40.7556818,-73.8624893,40.7502698,green,591
Long Island City/Hunters Point,Long Island City/Hunters Point,8,-73.95639,40.74128,-73.95639,40.74128,green,591
Williamsburg (South Side),Williamsburg (North Side),0,-73.9517335,40.7079936,-73.9634429,40.7190424,green,591
East Harlem North,Upper East Side North,10,-73.9464769,40.8115504,-73.9565551,40.7735649,green,590
Manhattanville,East Harlem North,14,-73.9558333,40.8169443,-73.9464769,40.8115504,green,590
Cobble Hill,Boerum Hill,18,-73.9962255,40.686536,-73.9844722,40.6848689,green,589
Hamilton Heights,Hamilton Heights,12,-73.9496079,40.8259597,-73.9496079,40.8259597,green,589
East Harlem North,Manhattanville,22,-73.9464769,40.8115504,-73.9558333,40.8169443,green,588
Elmhurst/Maspeth,Elmhurst,20,-73.8932385,40.7395973,-73.8801301,40.737975,green,587
Williamsburg (South Side),Williamsburg (North Side),22,-73.9517335,40.7079936,-73.9634429,40.7190424,green,585
Williamsburg (South Side),Williamsburg (North Side),20,-73.9517335,40.7079936,-73.9634429,40.7190424,green,584
Rego Park,Corona,18,-73.8624893,40.7255722,-73.8642613,40.7449859,green,580
Elmhurst/Maspeth,East Elmhurst,16,-73.8932385,40.7395973,-73.8713099,40.7737505,green,578
Elmhurst/Maspeth,Woodside,20,-73.8932385,40.7395973,-73.9036487,40.7512123,green,577
Fort Greene,Clinton Hill,20,-73.9741874,40.6920638,-73.9639021,40.6893665,green,577
