pickup_zone,dropoff_zone,time_interval,pickup_lon,pickup_lat,dropoff_lon,dropoff_lat,color,n
East Harlem North,East Harlem North,18,-73.9464769,40.8115504,-73.9464769,40.8115504,green,4532
East Harlem North,East Harlem North,16,-73.9464769,40.8115504,-73.9464769,40.8115504,green,4276
Central Harlem,East Harlem North,16,-73.9538699,40.7988378,-73.9464769,40.8115504,green,3788
East Harlem North,East Harlem North,8,-73.9464769,40.8115504,-73.9464769,40.8115504,green,3686
Central Harlem,East Harlem North,18,-73.9538699,40.7988378,-73.9464769,40.8115504,green,3668
East Harlem North,East Harlem North,20,-73.9464769,40.8115504,-73.9464769,40.8115504,green,3666
East Harlem North,East Harlem North,14,-73.9464769,40.8115504,-73.9464769,40.8115504,green,3615
East Harlem North,East Harlem North,10,-73.9464769,40.8115504,-73.9464769,40.8115504,green,3331
East Harlem North,East Harlem North,12,-73.9464769,40.8115504,-73.9464769,40.8115504,green,3206
Central Harlem,East Harlem North,14,-73.9538699,40.7988378,-73.9464769,40.8115504,green,2976
East Harlem North,Central Harlem,18,-73.9464769,40.8115504,-73.9538699,40.7988378,green,2911
Central Harlem,Central Harlem,16,-73.9538699,40.7988378,-73.9538699,40.7988378,green,2843
East Harlem North,East Harlem North,22,-73.9464769,40.8115504,-73.9464769,40.8115504,green,2710
East Harlem North,Central Harlem,16,-73.9464769,40.8115504,-73.9538699,40.7988378,green,2583
Central Harlem,East Harlem North,8,-73.9538699,40.7988378,-73.9464769,40.8115504,green,2577
Central Harlem,Central Harlem,18,-73.9538699,40.7988378,-73.9538699,40.7988378,green,2482
Central Harlem,East Harlem North,12,-73.9538699,40.7988378,-73.9464769,40.8115504,green,2474
Central Harlem,East Harlem North,10,-73.9538699,40.7988378,-73.9464769,40.8115504,green,2456
Central Harlem,East Harlem North,20,-73.9538699,40.7988378,-73.9464769,40.8115504,green,2411
Central Harlem,Central Harlem,14,-73.9538699,40.7988378,-73.9538699,40.7988378,green,2409
East Harlem North,Central Harlem,14,-73.9464769,40.8115504,-73.9538699,40.7988378,green,2366
East Harlem North,Central Harlem,8,-73.9464769,40.8115504,-73.9538699,40.7988378,green,2351
