pickup_zone,dropoff_zone,time_interval,pickup_lon,pickup_lat,dropoff_lon,dropoff_lat,n
Highbridge Park,Hamilton Heights,16,-73.9332427,40.8433959,-73.9496079,40.8259597,100
Highbridge Park,Washington Heights North,22,-73.9332427,40.8433959,-73.9393554,40.8417082,100
Long Island City/Queens Plaza,Astoria,12,-73.9373702,40.7487173,-73.9234619,40.7643574,100
Melrose South,Morrisania/Melrose,18,-73.9168766,40.8209719,-73.915231,40.825761,100
Morningside Heights,East Elmhurst,10,-73.9624327,40.8089564,-73.8713099,40.7737505,100
Morningside Heights,Times Sq/Theatre District,12,-73.9624327,40.8089564,-73.9841274,40.7592686,100
Mount Hope,Mount Hope,12,-73.9051185,40.8488863,-73.9051185,40.8488863,100
North Corona,Jackson Heights,8,-73.8624893,40.7502698,-73.8830701,40.7556818,100
Park Slope,Prospect Park,20,-73.9805817,40.6681038,-73.9689558,40.6602037,100
Rego Park,Sunnyside,16,-73.8624893,40.7255722,-73.9196324,40.7432759,100
Sunnyside,Elmhurst,14,-73.9196324,40.7432759,-73.8801301,40.737975,100
Sunnyside,Maspeth,22,-73.9196324,40.7432759,-73.9065883,40.7294018,100
Washington Heights North,Inwood,8,-73.9393554,40.8417082,-73.9212019,40.8677145,100
Washington Heights North,Lenox Hill East,16,-73.9393554,40.8417082,-73.9602312,40.7662315,100
West Concourse,Highbridge,20,-73.9227554,40.8316761,-73.9271644,40.8384699,100
Williamsburg (North Side),Boerum Hill,16,-73.9634429,40.7190424,-73.9844722,40.6848689,100
Williamsburg (North Side),Chinatown,14,-73.9634429,40.7190424,-73.9970307,40.7157509,100
Astoria,Elmhurst,20,-73.9234619,40.7643574,-73.8801301,40.737975,101
Astoria,Roosevelt Island,10,-73.9234619,40.7643574,-73.9509934,40.7605031,101
Astoria,Yorkville East,18,-73.9234619,40.7643574,-73.9492079,40.7762231,101
Brooklyn Heights,Marine Park/Floyd Bennett Field,18,-73.9932872,40.6960105,-73.9441579,40.6781784,101
Bushwick North,Bushwick North,16,-73.9212858,40.6944282,-73.9212858,40.6944282,101
Central Harlem,Highbridge Park,22,-73.9538699,40.7988378,-73.9332427,40.8433959,101
Central Harlem,Melrose South,8,-73.9538699,40.7988378,-73.9168766,40.8209719,101
Central Harlem,Murray Hill,14,-73.9538699,40.7988378,-73.9756567,40.7478792,101
Clinton Hill,Williamsburg (North Side),0,-73.9639021,40.6893665,-73.9634429,40.7190424,101
Coney Island,Coney Island,6,-73.9859414,40.5749261,-73.9859414,40.5749261,101
Downtown Brooklyn/MetroTech,Red Hook,14,-73.9861433,40.6942409,-74.0094471,40.6772802,101
East Harlem North,Upper East Side North,0,-73.9464769,40.8115504,-73.9565551,40.7735649,101
East Williamsburg,Williamsburg (North Side),20,-73.9330429,40.7158762,-73.9634429,40.7190424,101
Elmhurst,Ridgewood,16,-73.8801301,40.737975,-73.9018292,40.7043986,101
Fordham South,Fordham South,16,-73.8905425,40.8614658,-73.8905425,40.8614658,101
Fort Greene,SoHo,10,-73.9741874,40.6920638,-74.0029883,40.723301,101
Fort Greene,Williamsburg (North Side),16,-73.9741874,40.6920638,-73.9634429,40.7190424,101
Gowanus,Park Slope,10,-73.9903489,40.6733364,-73.9805817,40.6681038,101
Gowanus,Sunset Park East,22,-73.9903489,40.6733364,-74.0123851,40.645532,101
Jackson Heights,Astoria,4,-73.8830701,40.7556818,-73.9234619,40.7643574,101
Jackson Heights,East Elmhurst,14,-73.8830701,40.7556818,-73.8713099,40.7737505,101
Jamaica,Hollis,0,-73.7889689,40.702677,-73.762495,40.7112203,101
Little Italy/NoLiTa,Fort Greene,14,-73.9904233,40.7065737,-73.9741874,40.6920638,101
Little Italy/NoLiTa,Murray Hill,8,-73.9904233,40.7065737,-73.9756567,40.7478792,101
Little Italy/NoLiTa,World Trade Center,6,-73.9904233,40.7065737,-74.0131196,40.7118011,101
Marine Park/Floyd Bennett Field,Crown Heights North,12,-73.9441579,40.6781784,-73.9447994,40.6681032,101
Melrose South,Mott Haven/Port Morris,18,-73.9168766,40.8209719,-73.9218949,40.7992799,101
Park Slope,Flatbush/Ditmas Park,18,-73.9805817,40.6681038,-73.9624327,40.6409217,101
Prospect Heights,Bushwick North,20,-73.9668408,40.6774196,-73.9212858,40.6944282,101
Prospect Heights,Downtown Brooklyn/MetroTech,20,-73.9668408,40.6774196,-73.9861433,40.6942409,101
Prospect Heights,Stuyvesant Heights,14,-73.9668408,40.6774196,-73.9330981,40.6882279,101
Rego Park,Flushing Meadows-Corona Park,22,-73.8624893,40.7255722,-73.8448469,40.7428054,101
Rego Park,Rego Park,8,-73.8624893,40.7255722,-73.8624893,40.7255722,101
South Williamsburg,East Williamsburg,0,-73.9701967,40.7085692,-73.9330429,40.7158762,101
Westchester Village/Unionport,Soundview/Castle Hill,20,-73.8577346,40.8335462,-73.8498925,40.8271028,101
Williamsburg (North Side),Greenwich Village North,20,-73.9634429,40.7190424,-74.0027418,40.7335719,101
Williamsburg (North Side),SoHo,14,-73.9634429,40.7190424,-74.0029883,40.723301,101
Williamsburg (South Side),Lower East Side,20,-73.9517335,40.7079936,-73.9842724,40.715033,101
Williamsburg (South Side),Park Slope,22,-73.9517335,40.7079936,-73.9805817,40.6681038,101
Astoria,Long Island City/Hunters Point,12,-73.9234619,40.7643574,-73.95639,40.74128,102
Astoria,Long Island City/Queens Plaza,0,-73.9234619,40.7643574,-73.9373702,40.7487173,102
Astoria,Yorkville East,16,-73.9234619,40.7643574,-73.9492079,40.7762231,102
Boerum Hill,Bay Ridge,22,-73.9844722,40.6848689,-74.0329499,40.6261638,102
Boerum Hill,Marine Park/Floyd Bennett Field,10,-73.9844722,40.6848689,-73.9441579,40.6781784,102
Brownsville,Brownsville,22,-73.9095279,40.66308,-73.9095279,40.66308,102
Central Harlem,Clinton East,22,-73.9538699,40.7988378,-73.9918181,40.7637581,102
Central Harlem,Murray Hill,8,-73.9538699,40.7988378,-73.9756567,40.7478792,102
Clinton Hill,Chinatown,8,-73.9639021,40.6893665,-73.9970307,40.7157509,102
Cobble Hill,Red Hook,16,-73.9962255,40.686536,-74.0094471,40.6772802,102
Cobble Hill,Williamsburg (South Side),18,-73.9962255,40.686536,-73.9517335,40.7079936,102
Corona,Elmhurst/Maspeth,18,-73.8642613,40.7449859,-73.8932385,40.7395973,102
Corona,Rego Park,12,-73.8642613,40.7449859,-73.8624893,40.7255722,102
East Harlem North,Garment District,14,-73.9464769,40.8115504,-73.9916342,40.7547072,102
East Harlem North,Midtown Center,6,-73.9464769,40.8115504,-73.9784137,40.7553676,102
East Harlem North,University Heights/Morris Heights,22,-73.9464769,40.8115504,-73.9172035,40.8494044,102
Elmhurst,Sunnyside,22,-73.8801301,40.737975,-73.9196324,40.7432759,102
Elmhurst/Maspeth,Sunnyside,8,-73.8932385,40.7395973,-73.9196324,40.7432759,102
Flushing,North Corona,18,-73.833079,40.7674987,-73.8624893,40.7502698,102
Forest Hills,Rego Park,6,-73.8448469,40.718106,-73.8624893,40.7255722,102
Fort Greene,Williamsburg (South Side),0,-73.9741874,40.6920638,-73.9517335,40.7079936,102
Greenpoint,Bushwick North,20,-73.9418603,40.7245448,-73.9212858,40.6944282,102
Greenpoint,Long Island City/Hunters Point,14,-73.9418603,40.7245448,-73.95639,40.74128,102
Jackson Heights,Rego Park,10,-73.8830701,40.7556818,-73.8624893,40.7255722,102
Little Italy/NoLiTa,Downtown Brooklyn/MetroTech,10,-73.9904233,40.7065737,-73.9861433,40.6942409,102
Manhattanville,Morningside Heights,6,-73.9558333,40.8169443,-73.9624327,40.8089564,102
Marine Park/Floyd Bennett Field,Fort Greene,10,-73.9441579,40.6781784,-73.9741874,40.6920638,102
Morningside Heights,Central Park,8,-73.9624327,40.8089564,-73.9741874,40.7711329,102
North Corona,North Corona,12,-73.8624893,40.7502698,-73.8624893,40.7502698,102
Prospect Heights,JFK Airport,6,-73.9668408,40.6774196,-73.7781391,40.6413111,102
Prospect Heights,Prospect Park,0,-73.9668408,40.6774196,-73.9689558,40.6602037,102
Rego Park,Sunnyside,18,-73.8624893,40.7255722,-73.9196324,40.7432759,102
Steinway,Sunnyside,12,-73.9124667,40.7669996,-73.9196324,40.7432759,102
Stuyvesant Heights,Stuyvesant Heights,4,-73.9330981,40.6882279,-73.9330981,40.6882279,102
Sunnyside,Long Island City/Queens Plaza,12,-73.9196324,40.7432759,-73.9373702,40.7487173,102
Union Sq,Union Sq,12,-71.6496724,42.8359162,-71.6496724,42.8359162,102
Washington Heights North,Central Harlem,16,-73.9393554,40.8417082,-73.9538699,40.7988378,102
Williamsburg (North Side),East Chelsea,0,-73.9634429,40.7190424,-74.0013737,40.7465004,102
Williamsburg (North Side),Garment District,2,-73.9634429,40.7190424,-73.9916342,40.7547072,102
Woodside,East Elmhurst,18,-73.9036487,40.7512123,-73.8713099,40.7737505,102
Brooklyn Heights,Clinton Hill,12,-73.9932872,40.6960105,-73.9639021,40.6893665,103
Brooklyn Heights,Hudson Sq,8,-73.9932872,40.6960105,-74.0074731,40.7265834,103
Central Harlem,Highbridge Park,16,-73.9538699,40.7988378,-73.9332427,40.8433959,103
Central Harlem,West Concourse,20,-73.9538699,40.7988378,-73.9227554,40.8316761,103
Clinton Hill,Downtown Brooklyn/MetroTech,22,-73.9639021,40.6893665,-73.9861433,40.6942409,103
Cobble Hill,Red Hook,14,-73.9962255,40.686536,-74.0094471,40.6772802,103
Downtown Brooklyn/MetroTech,Red Hook,16,-73.9861433,40.6942409,-74.0094471,40.6772802,103
Downtown Brooklyn/MetroTech,Red Hook,20,-73.9861433,40.6942409,-74.0094471,40.6772802,103
East Concourse/Concourse Village,East Concourse/Concourse Village,18,-73.919308,40.824062,-73.919308,40.824062,103
Elmhurst/Maspeth,Rego Park,16,-73.8932385,40.7395973,-73.8624893,40.7255722,103
Elmhurst/Maspeth,Steinway,4,-73.8932385,40.7395973,-73.9124667,40.7669996,103
Flushing,College Point,14,-73.833079,40.7674987,-73.8389657,40.786395,103
Forest Hills,Richmond Hill,0,-73.8448469,40.718106,-73.8272029,40.6958108,103
Fort Greene,Stuyvesant Heights,10,-73.9741874,40.6920638,-73.9330981,40.6882279,103
Little Italy/NoLiTa,Prospect Heights,22,-73.9904233,40.7065737,-73.9668408,40.6774196,103
Manhattanville,Bloomingdale,20,-73.9558333,40.8169443,-73.9697795,40.7988958,103
Manhattanville,Lincoln Square East,8,-73.9558333,40.8169443,-73.9844722,40.773828,103
Manhattanville,Morningside Heights,20,-73.9558333,40.8169443,-73.9624327,40.8089564,103
Marine Park/Floyd Bennett Field,Williamsburg (North Side),20,-73.9441579,40.6781784,-73.9634429,40.7190424,103
Morningside Heights,Garment District,12,-73.9624327,40.8089564,-73.9916342,40.7547072,103
Park Slope,Windsor Terrace,22,-73.9805817,40.6681038,-73.9756567,40.6539346,103
Rego Park,Jackson Heights,22,-73.8624893,40.7255722,-73.8830701,40.7556818,103
Steinway,Astoria Park,4,-73.9124667,40.7669996,-73.9215888,40.7796684,103
Williamsburg (North Side),South Williamsburg,10,-73.9634429,40.7190424,-73.9701967,40.7085692,103
Yorkville East,Randalls Island,20,-73.9492079,40.7762231,-73.9271644,40.7891291,103
Yorkville East,Upper West Side North,14,-73.9492079,40.7762231,-73.9753676,40.7870106,103
Astoria,Woodside,6,-73.9234619,40.7643574,-73.9036487,40.7512123,104
Astoria,Yorkville East,14,-73.9234619,40.7643574,-73.9492079,40.7762231,104
Boerum Hill,Brownsville,20,-73.9844722,40.6848689,-73.9095279,40.66308,104
Boerum Hill,East Village,22,-73.9844722,40.6848689,-73.9815337,40.7264773,104
Boerum Hill,Prospect Park,20,-73.9844722,40.6848689,-73.9689558,40.6602037,104
Briarwood/Jamaica Hills,Briarwood/Jamaica Hills,12,-73.8273848,40.7126936,-73.8273848,40.7126936,104
Central Harlem,Highbridge Park,18,-73.9538699,40.7988378,-73.9332427,40.8433959,104
Central Harlem,Highbridge Park,20,-73.9538699,40.7988378,-73.9332427,40.8433959,104
Clinton Hill,Downtown Brooklyn/MetroTech,6,-73.9639021,40.6893665,-73.9861433,40.6942409,104
Clinton Hill,Williamsburg (South Side),2,-73.9639021,40.6893665,-73.9517335,40.7079936,104
Cobble Hill,Carroll Gardens,0,-73.9962255,40.686536,-73.9991637,40.6795331,104
East Concourse/Concourse Village,Melrose South,14,-73.919308,40.824062,-73.9168766,40.8209719,104
East Harlem North,Midtown East,10,-73.9464769,40.8115504,-73.9668408,40.7540369,104
East Harlem North,West Concourse,12,-73.9464769,40.8115504,-73.9227554,40.8316761,104
Forest Hills,Hillcrest/Pomonok,10,-73.8448469,40.718106,-73.8244593,40.7370967,104
Forest Hills,Kew Gardens Hills,8,-73.8448469,40.718106,-73.8106854,40.7384986,104
Greenpoint,Williamsburg (South Side),14,-73.9418603,40.7245448,-73.9517335,40.7079936,104
Jackson Heights,Rego Park,14,-73.8830701,40.7556818,-73.8624893,40.7255722,104
Long Island City/Hunters Point,Lenox Hill East,8,-73.95639,40.74128,-73.9602312,40.7662315,104
Manhattanville,Upper West Side North,12,-73.9558333,40.8169443,-73.9753676,40.7870106,104
Manhattanville,Upper West Side North,16,-73.9558333,40.8169443,-73.9753676,40.7870106,104
Marine Park/Floyd Bennett Field,Fort Greene,22,-73.9441579,40.6781784,-73.9741874,40.6920638,104
Park Slope,Prospect-Lefferts Gardens,18,-73.9805817,40.6681038,-73.9506774,40.6590448,104
Randalls Island,Randalls Island,22,-73.9271644,40.7891291,-73.9271644,40.7891291,104
Stuyvesant Heights,Williamsburg (South Side),16,-73.9330981,40.6882279,-73.9517335,40.7079936,104
Sunnyside,Maspeth,16,-73.9196324,40.7432759,-73.9065883,40.7294018,104
West Concourse,West Concourse,8,-73.9227554,40.8316761,-73.9227554,40.8316761,104
Williamsburg (North Side),Murray Hill,0,-73.9634429,40.7190424,-73.9756567,40.7478792,104
Williamsburg (North Side),SoHo,16,-73.9634429,40.7190424,-74.0029883,40.723301,104
Astoria,Yorkville East,22,-73.9234619,40.7643574,-73.9492079,40.7762231,105
Boerum Hill,Bushwick North,16,-73.9844722,40.6848689,-73.9212858,40.6944282,105
Briarwood/Jamaica Hills,Kew Gardens,12,-73.8273848,40.7126936,-73.8272029,40.705695,105
Brooklyn Heights,Clinton Hill,22,-73.9932872,40.6960105,-73.9639021,40.6893665,105
Carroll Gardens,Boerum Hill,12,-73.9991637,40.6795331,-73.9844722,40.6848689,105
Central Harlem,Clinton East,8,-73.9538699,40.7988378,-73.9918181,40.7637581,105
Central Harlem,Clinton East,14,-73.9538699,40.7988378,-73.9918181,40.7637581,105
Cobble Hill,Hudson Sq,8,-73.9962255,40.686536,-74.0074731,40.7265834,105
Downtown Brooklyn/MetroTech,Boerum Hill,8,-73.9861433,40.6942409,-73.9844722,40.6848689,105
Downtown Brooklyn/MetroTech,Brooklyn Heights,14,-73.9861433,40.6942409,-73.9932872,40.6960105,105
Downtown Brooklyn/MetroTech,Chinatown,8,-73.9861433,40.6942409,-73.9970307,40.7157509,105
East Harlem North,Central Park,16,-73.9464769,40.8115504,-73.9741874,40.7711329,105
East Harlem North,Times Sq/Theatre District,20,-73.9464769,40.8115504,-73.9841274,40.7592686,105
Elmhurst/Maspeth,Steinway,12,-73.8932385,40.7395973,-73.9124667,40.7669996,105
Erasmus,Erasmus,18,-73.9523791,40.6496713,-73.9523791,40.6496713,105
Gowanus,Prospect Heights,0,-73.9903489,40.6733364,-73.9668408,40.6774196,105
Hamilton Heights,Highbridge Park,8,-73.9496079,40.8259597,-73.9332427,40.8433959,105
Inwood,Washington Heights North,14,-73.9212019,40.8677145,-73.9393554,40.8417082,105
Jackson Heights,East Elmhurst,4,-73.8830701,40.7556818,-73.8713099,40.7737505,105
Jackson Heights,Sunnyside,14,-73.8830701,40.7556818,-73.9196324,40.7432759,105
Little Italy/NoLiTa,Boerum Hill,14,-73.9904233,40.7065737,-73.9844722,40.6848689,105
Long Island City/Hunters Point,Sunnyside,20,-73.95639,40.74128,-73.9196324,40.7432759,105
Long Island City/Queens Plaza,Astoria,0,-73.9373702,40.7487173,-73.9234619,40.7643574,105
Marine Park/Floyd Bennett Field,Fort Greene,12,-73.9441579,40.6781784,-73.9741874,40.6920638,105
Melrose South,Longwood,16,-73.9168766,40.8209719,-73.8915875,40.8248438,105
Morningside Heights,Lenox Hill East,8,-73.9624327,40.8089564,-73.9602312,40.7662315,105
Morningside Heights,Times Sq/Theatre District,14,-73.9624327,40.8089564,-73.9841274,40.7592686,105
Mott Haven/Port Morris,East Harlem North,12,-73.9218949,40.7992799,-73.9464769,40.8115504,105
North Corona,Jackson Heights,12,-73.8624893,40.7502698,-73.8830701,40.7556818,105
Park Slope,Brooklyn Heights,20,-73.9805817,40.6681038,-73.9932872,40.6960105,105
Park Slope,Carroll Gardens,16,-73.9805817,40.6681038,-73.9991637,40.6795331,105
Park Slope,Park Slope,6,-73.9805817,40.6681038,-73.9805817,40.6681038,105
Randalls Island,Mott Haven/Port Morris,20,-73.9271644,40.7891291,-73.9218949,40.7992799,105
Washington Heights North,Hamilton Heights,2,-73.9393554,40.8417082,-73.9496079,40.8259597,105
Washington Heights North,Lincoln Square East,8,-73.9393554,40.8417082,-73.9844722,40.773828,105
Williamsburg (North Side),Steinway,2,-73.9634429,40.7190424,-73.9124667,40.7669996,105
Boerum Hill,Erasmus,18,-73.9844722,40.6848689,-73.9523791,40.6496713,106
Boerum Hill,Flatbush/Ditmas Park,18,-73.9844722,40.6848689,-73.9624327,40.6409217,106
Briarwood/Jamaica Hills,Briarwood/Jamaica Hills,8,-73.8273848,40.7126936,-73.8273848,40.7126936,106
Briarwood/Jamaica Hills,Forest Hills,12,-73.8273848,40.7126936,-73.8448469,40.718106,106
Brownsville,Brownsville,16,-73.9095279,40.66308,-73.9095279,40.66308,106
Carroll Gardens,Cobble Hill,8,-73.9991637,40.6795331,-73.9962255,40.686536,106
Central Harlem,Bloomingdale,2,-73.9538699,40.7988378,-73.9697795,40.7988958,106
Central Harlem,Yorkville East,2,-73.9538699,40.7988378,-73.9492079,40.7762231,106
Clinton Hill,Crown Heights North,22,-73.9639021,40.6893665,-73.9447994,40.6681032,106
Clinton Hill,Stuyvesant Heights,10,-73.9639021,40.6893665,-73.9330981,40.6882279,106
Clinton Hill,Williamsburg (North Side),14,-73.9639021,40.6893665,-73.9634429,40.7190424,106
East Concourse/Concourse Village,East Concourse/Concourse Village,14,-73.919308,40.824062,-73.919308,40.824062,106
East Concourse/Concourse Village,Hamilton Heights,20,-73.919308,40.824062,-73.9496079,40.8259597,106
East Harlem North,Central Park,12,-73.9464769,40.8115504,-73.9741874,40.7711329,106
East Williamsburg,Bushwick North,20,-73.9330429,40.7158762,-73.9212858,40.6944282,106
Gowanus,Boerum Hill,8,-73.9903489,40.6733364,-73.9844722,40.6848689,106
Melrose South,East Harlem North,18,-73.9168766,40.8209719,-73.9464769,40.8115504,106
Morningside Heights,Central Harlem,6,-73.9624327,40.8089564,-73.9538699,40.7988378,106
Morningside Heights,Manhattanville,0,-73.9624327,40.8089564,-73.9558333,40.8169443,106
Prospect Heights,Fort Greene,0,-73.9668408,40.6774196,-73.9741874,40.6920638,106
Rego Park,Briarwood/Jamaica Hills,20,-73.8624893,40.7255722,-73.8273848,40.7126936,106
Westchester Village/Unionport,Soundview/Castle Hill,22,-73.8577346,40.8335462,-73.8498925,40.8271028,106
Williamsburg (North Side),Astoria,20,-73.9634429,40.7190424,-73.9234619,40.7643574,106
Williamsburg (North Side),Murray Hill,2,-73.9634429,40.7190424,-73.9756567,40.7478792,106
Williamsburg (South Side),Bushwick North,16,-73.9517335,40.7079936,-73.9212858,40.6944282,106
Williamsburg (South Side),Chinatown,0,-73.9517335,40.7079936,-73.9970307,40.7157509,106
Astoria,Corona,0,-73.9234619,40.7643574,-73.8642613,40.7449859,107
Astoria,North Corona,22,-73.9234619,40.7643574,-73.8624893,40.7502698,107
Boerum Hill,Clinton Hill,8,-73.9844722,40.6848689,-73.9639021,40.6893665,107
Boerum Hill,East Flatbush/Remsen Village,18,-73.9844722,40.6848689,-73.9225358,40.6550992,107
Carroll Gardens,Carroll Gardens,18,-73.9991637,40.6795331,-73.9991637,40.6795331,107
Central Harlem,Flatiron,10,-73.9538699,40.7988378,-73.9896986,40.7410605,107
Cobble Hill,Williamsburg (South Side),22,-73.9962255,40.686536,-73.9517335,40.7079936,107
Corona,Corona,8,-73.8642613,40.7449859,-73.8642613,40.7449859,107
Downtown Brooklyn/MetroTech,Seaport,8,-73.9861433,40.6942409,-74.0037097,40.7065616,107
East Harlem North,Times Sq/Theatre District,18,-73.9464769,40.8115504,-73.9841274,40.7592686,107
Elmhurst,North Corona,12,-73.8801301,40.737975,-73.8624893,40.7502698,107
Elmhurst/Maspeth,Long Island City/Queens Plaza,8,-73.8932385,40.7395973,-73.9373702,40.7487173,107
Fordham South,Fordham South,8,-73.8905425,40.8614658,-73.8905425,40.8614658,107
Forest Hills,Breezy Point/Fort Tilden/Riis Beach,18,-73.8448469,40.718106,-73.7948516,40.7282239,107
Fort Greene,Brooklyn Heights,18,-73.9741874,40.6920638,-73.9932872,40.6960105,107
Fort Greene,Park Slope,14,-73.9741874,40.6920638,-73.9805817,40.6681038,107
Greenpoint,Clinton Hill,0,-73.9418603,40.7245448,-73.9639021,40.6893665,107
Hamilton Heights,Clinton East,8,-73.9496079,40.8259597,-73.9918181,40.7637581,107
Jackson Heights,Astoria,2,-73.8830701,40.7556818,-73.9234619,40.7643574,107
Long Island City/Hunters Point,Lenox Hill East,6,-73.95639,40.74128,-73.9602312,40.7662315,107
Marine Park/Floyd Bennett Field,Bushwick North,12,-73.9441579,40.6781784,-73.9212858,40.6944282,107
Marine Park/Floyd Bennett Field,Erasmus,22,-73.9441579,40.6781784,-73.9523791,40.6496713,107
Melrose South,East Concourse/Concourse Village,14,-73.9168766,40.8209719,-73.919308,40.824062,107
Melrose South,Melrose South,22,-73.9168766,40.8209719,-73.9168766,40.8209719,107
Melrose South,Morrisania/Melrose,16,-73.9168766,40.8209719,-73.915231,40.825761,107
Morningside Heights,Central Park,10,-73.9624327,40.8089564,-73.9741874,40.7711329,107
Morningside Heights,Clinton East,18,-73.9624327,40.8089564,-73.9918181,40.7637581,107
Park Slope,Fort Greene,16,-73.9805817,40.6681038,-73.9741874,40.6920638,107
Park Slope,Gowanus,10,-73.9805817,40.6681038,-73.9903489,40.6733364,107
Queensboro Hill,Steinway,18,-73.940358,40.7509287,-73.9124667,40.7669996,107
Sunnyside,Steinway,22,-73.9196324,40.7432759,-73.9124667,40.7669996,107
Williamsburg (North Side),Boerum Hill,2,-73.9634429,40.7190424,-73.9844722,40.6848689,107
Williamsburg (North Side),Lower East Side,4,-73.9634429,40.7190424,-73.9842724,40.715033,107
Yorkville East,Lenox Hill East,16,-73.9492079,40.7762231,-73.9602312,40.7662315,107
Boerum Hill,Stuyvesant Heights,2,-73.9844722,40.6848689,-73.9330981,40.6882279,108
Carroll Gardens,Brooklyn Heights,18,-73.9991637,40.6795331,-73.9932872,40.6960105,108
Central Harlem,Flatiron,14,-73.9538699,40.7988378,-73.9896986,40.7410605,108
Central Harlem,Midtown East,6,-73.9538699,40.7988378,-73.9668408,40.7540369,108
Cobble Hill,Marine Park/Floyd Bennett Field,16,-73.9962255,40.686536,-73.9441579,40.6781784,108
Corona,East Elmhurst,16,-73.8642613,40.7449859,-73.8713099,40.7737505,108
East Harlem North,East Elmhurst,4,-73.9464769,40.8115504,-73.8713099,40.7737505,108
Elmhurst,North Corona,22,-73.8801301,40.737975,-73.8624893,40.7502698,108
Elmhurst,Ridgewood,18,-73.8801301,40.737975,-73.9018292,40.7043986,108
Erasmus,Erasmus,16,-73.9523791,40.6496713,-73.9523791,40.6496713,108
Flushing,Flushing,10,-73.833079,40.7674987,-73.833079,40.7674987,108
Green-Wood Cemetery,Sunset Park East,20,-73.995692,40.659017,-74.0123851,40.645532,108
Jackson Heights,Astoria,0,-73.8830701,40.7556818,-73.9234619,40.7643574,108
Kingsbridge Heights,Kingsbridge Heights,8,-73.9027462,40.8739816,-73.9027462,40.8739816,108
Kingsbridge Heights,Kingsbridge Heights,20,-73.9027462,40.8739816,-73.9027462,40.8739816,108
Long Island City/Hunters Point,Astoria,0,-73.95639,40.74128,-73.9234619,40.7643574,108
Long Island City/Hunters Point,Williamsburg (South Side),2,-73.95639,40.74128,-73.9517335,40.7079936,108
Manhattanville,Central Harlem,0,-73.9558333,40.8169443,-73.9538699,40.7988378,108
Manhattanville,Upper West Side North,18,-73.9558333,40.8169443,-73.9753676,40.7870106,108
Marine Park/Floyd Bennett Field,Boerum Hill,12,-73.9441579,40.6781784,-73.9844722,40.6848689,108
Marine Park/Floyd Bennett Field,Bushwick North,16,-73.9441579,40.6781784,-73.9212858,40.6944282,108
Morningside Heights,Yorkville East,8,-73.9624327,40.8089564,-73.9492079,40.7762231,108
Park Slope,Carroll Gardens,18,-73.9805817,40.6681038,-73.9991637,40.6795331,108
Park Slope,Crown Heights North,16,-73.9805817,40.6681038,-73.9447994,40.6681032,108
Park Slope,Prospect-Lefferts Gardens,20,-73.9805817,40.6681038,-73.9506774,40.6590448,108
Rego Park,Briarwood/Jamaica Hills,14,-73.8624893,40.7255722,-73.8273848,40.7126936,108
