pickup_zone,dropoff_zone,time_interval,pickup_lon,pickup_lat,dropoff_lon,dropoff_lat,n
Boerum Hill,Bay Ridge,0,-73.9844722,40.6848689,-74.0329499,40.6261638,100
Boerum Hill,Marine Park/Floyd Bennett Field,2,-73.9844722,40.6848689,-73.9441579,40.6781784,100
Brooklyn Heights,Flatiron,10,-73.9932872,40.6960105,-73.9896986,40.7410605,100
Brooklyn Heights,Marine Park/Floyd Bennett Field,20,-73.9932872,40.6960105,-73.9441579,40.6781784,100
Central Harlem,Clinton East,10,-73.9538699,40.7988378,-73.9918181,40.7637581,100
Central Harlem,Flatiron,16,-73.9538699,40.7988378,-73.9896986,40.7410605,100
Central Harlem,Midtown Center,20,-73.9538699,40.7988378,-73.9784137,40.7553676,100
Central Harlem,Sutton Place/Turtle Bay North,18,-73.9538699,40.7988378,-73.9601669,40.7580204,100
Central Harlem,Times Sq/Theatre District,22,-73.9538699,40.7988378,-73.9841274,40.7592686,100
Cobble Hill,Green-Wood Cemetery,18,-73.9962255,40.686536,-73.995692,40.659017,100
Cobble Hill,Marine Park/Floyd Bennett Field,0,-73.9962255,40.686536,-73.9441579,40.6781784,100
Cobble Hill,Red Hook,12,-73.9962255,40.686536,-74.0094471,40.6772802,100
Cobble Hill,Williamsburg (North Side),22,-73.9962255,40.686536,-73.9634429,40.7190424,100
Crown Heights North,Crown Heights North,16,-73.9447994,40.6681032,-73.9447994,40.6681032,100
Downtown Brooklyn/MetroTech,Williamsburg (North Side),12,-73.9861433,40.6942409,-73.9634429,40.7190424,100
East Williamsburg,East Williamsburg,2,-73.9330429,40.7158762,-73.9330429,40.7158762,100
Elmhurst,Old Astoria,22,-73.8801301,40.737975,-73.892939,40.7328166,100
Elmhurst,Rego Park,22,-73.8801301,40.737975,-73.8624893,40.7255722,100
Elmhurst/Maspeth,Elmhurst,6,-73.8932385,40.7395973,-73.8801301,40.737975,100
Elmhurst/Maspeth,Elmhurst/Maspeth,6,-73.8932385,40.7395973,-73.8932385,40.7395973,100
Elmhurst/Maspeth,Rego Park,2,-73.8932385,40.7395973,-73.8624893,40.7255722,100
Elmhurst/Maspeth,Steinway,10,-73.8932385,40.7395973,-73.9124667,40.7669996,100
Fort Greene,Boerum Hill,6,-73.9741874,40.6920638,-73.9844722,40.6848689,100
Gowanus,Gowanus,18,-73.9903489,40.6733364,-73.9903489,40.6733364,100
Hamilton Heights,Melrose South,20,-73.9496079,40.8259597,-73.9168766,40.8209719,100
