"pickup_zone","dropoff_zone","time_interval","pickup_lon","pickup_lat","dropoff_lon","dropoff_lat","n","color"
"East Harlem North","East Harlem North",18,-73.9464769,40.8115504,-73.9464769,40.8115504,4532,"green"
"East Harlem North","East Harlem North",16,-73.9464769,40.8115504,-73.9464769,40.8115504,4276,"green"
"Central Harlem","East Harlem North",16,-73.9538699,40.7988378,-73.9464769,40.8115504,3788,"green"
"East Harlem North","East Harlem North",8,-73.9464769,40.8115504,-73.9464769,40.8115504,3686,"green"
"Central Harlem","East Harlem North",18,-73.9538699,40.7988378,-73.9464769,40.8115504,3668,"green"
"East Harlem North","East Harlem North",20,-73.9464769,40.8115504,-73.9464769,40.8115504,3666,"green"
"East Harlem North","East Harlem North",14,-73.9464769,40.8115504,-73.9464769,40.8115504,3615,"green"
"East Harlem North","East Harlem North",10,-73.9464769,40.8115504,-73.9464769,40.8115504,3331,"green"
"East Harlem North","East Harlem North",12,-73.9464769,40.8115504,-73.9464769,40.8115504,3206,"green"
"Central Harlem","East Harlem North",14,-73.9538699,40.7988378,-73.9464769,40.8115504,2976,"green"
"East Harlem North","Central Harlem",18,-73.9464769,40.8115504,-73.9538699,40.7988378,2911,"green"
"Central Harlem","Central Harlem",16,-73.9538699,40.7988378,-73.9538699,40.7988378,2843,"green"
"East Harlem North","East Harlem North",22,-73.9464769,40.8115504,-73.9464769,40.8115504,2710,"green"
"East Harlem North","Central Harlem",16,-73.9464769,40.8115504,-73.9538699,40.7988378,2583,"green"
"Central Harlem","East Harlem North",8,-73.9538699,40.7988378,-73.9464769,40.8115504,2577,"green"
"Central Harlem","Central Harlem",18,-73.9538699,40.7988378,-73.9538699,40.7988378,2482,"green"
"Central Harlem","East Harlem North",12,-73.9538699,40.7988378,-73.9464769,40.8115504,2474,"green"
"Central Harlem","East Harlem North",10,-73.9538699,40.7988378,-73.9464769,40.8115504,2456,"green"
"Central Harlem","East Harlem North",20,-73.9538699,40.7988378,-73.9464769,40.8115504,2411,"green"
"Central Harlem","Central Harlem",14,-73.9538699,40.7988378,-73.9538699,40.7988378,2409,"green"
"East Harlem North","Central Harlem",14,-73.9464769,40.8115504,-73.9538699,40.7988378,2366,"green"
"East Harlem North","Central Harlem",8,-73.9464769,40.8115504,-73.9538699,40.7988378,2351,"green"
"East Harlem North","Central Harlem",20,-73.9464769,40.8115504,-73.9538699,40.7988378,2259,"green"
"Central Harlem","Central Harlem",8,-73.9538699,40.7988378,-73.9538699,40.7988378,2232,"green"
"Astoria","Astoria",18,-73.9234619,40.7643574,-73.9234619,40.7643574,2126,"green"
"Central Harlem","Central Harlem",12,-73.9538699,40.7988378,-73.9538699,40.7988378,2081,"green"
"Astoria","Steinway",18,-73.9234619,40.7643574,-73.9124667,40.7669996,2078,"green"
"Central Harlem","Central Harlem",10,-73.9538699,40.7988378,-73.9538699,40.7988378,2064,"green"
"East Harlem North","Hamilton Heights",18,-73.9464769,40.8115504,-73.9496079,40.8259597,2014,"green"
"East Harlem North","Central Harlem",12,-73.9464769,40.8115504,-73.9538699,40.7988378,2011,"green"
"Astoria","Astoria",20,-73.9234619,40.7643574,-73.9234619,40.7643574,1936,"green"
"East Harlem North","Central Harlem",10,-73.9464769,40.8115504,-73.9538699,40.7988378,1934,"green"
"Astoria","Steinway",20,-73.9234619,40.7643574,-73.9124667,40.7669996,1924,"green"
"Astoria","Steinway",22,-73.9234619,40.7643574,-73.9124667,40.7669996,1916,"green"
"Astoria","Astoria",16,-73.9234619,40.7643574,-73.9234619,40.7643574,1912,"green"
"Elmhurst/Maspeth","Jackson Heights",22,-73.8932385,40.7395973,-73.8830701,40.7556818,1877,"green"
"East Harlem North","Hamilton Heights",20,-73.9464769,40.8115504,-73.9496079,40.8259597,1812,"green"
"Elmhurst/Maspeth","Jackson Heights",0,-73.8932385,40.7395973,-73.8830701,40.7556818,1811,"green"
"Central Harlem","Central Harlem",20,-73.9538699,40.7988378,-73.9538699,40.7988378,1802,"green"
"East Harlem North","Hamilton Heights",16,-73.9464769,40.8115504,-73.9496079,40.8259597,1793,"green"
"East Harlem North","East Harlem North",0,-73.9464769,40.8115504,-73.9464769,40.8115504,1770,"green"
"Central Harlem","Yorkville East",16,-73.9538699,40.7988378,-73.9492079,40.7762231,1767,"green"
"Central Harlem","East Harlem North",22,-73.9538699,40.7988378,-73.9464769,40.8115504,1736,"green"
"East Harlem North","Central Harlem",22,-73.9464769,40.8115504,-73.9538699,40.7988378,1732,"green"
"Central Harlem","Yorkville East",18,-73.9538699,40.7988378,-73.9492079,40.7762231,1714,"green"
"Astoria","Astoria",22,-73.9234619,40.7643574,-73.9234619,40.7643574,1699,"green"
"Elmhurst/Maspeth","Jackson Heights",18,-73.8932385,40.7395973,-73.8830701,40.7556818,1614,"green"
"Steinway","Steinway",18,-73.9124667,40.7669996,-73.9124667,40.7669996,1576,"green"
"Williamsburg (North Side)","Greenpoint",22,-73.9634429,40.7190424,-73.9418603,40.7245448,1569,"green"
"Astoria","Steinway",16,-73.9234619,40.7643574,-73.9124667,40.7669996,1560,"green"
"Steinway","Steinway",20,-73.9124667,40.7669996,-73.9124667,40.7669996,1559,"green"
"Central Harlem","Bloomingdale",16,-73.9538699,40.7988378,-73.9697795,40.7988958,1554,"green"
"East Harlem North","Morningside Heights",8,-73.9464769,40.8115504,-73.9624327,40.8089564,1551,"green"
"Elmhurst/Maspeth","Jackson Heights",20,-73.8932385,40.7395973,-73.8830701,40.7556818,1536,"green"
"East Harlem North","Hamilton Heights",22,-73.9464769,40.8115504,-73.9496079,40.8259597,1530,"green"
"Astoria","Steinway",0,-73.9234619,40.7643574,-73.9124667,40.7669996,1527,"green"
"Williamsburg (North Side)","Williamsburg (South Side)",0,-73.9634429,40.7190424,-73.9517335,40.7079936,1527,"green"
"Astoria","Astoria",14,-73.9234619,40.7643574,-73.9234619,40.7643574,1518,"green"
"Williamsburg (North Side)","Greenpoint",20,-73.9634429,40.7190424,-73.9418603,40.7245448,1477,"green"
"East Harlem North","East Harlem North",6,-73.9464769,40.8115504,-73.9464769,40.8115504,1474,"green"
"East Harlem North","Yorkville East",18,-73.9464769,40.8115504,-73.9492079,40.7762231,1454,"green"
"Williamsburg (North Side)","Williamsburg (South Side)",22,-73.9634429,40.7190424,-73.9517335,40.7079936,1450,"green"
"East Harlem North","Hamilton Heights",14,-73.9464769,40.8115504,-73.9496079,40.8259597,1410,"green"
"Central Harlem","Upper East Side North",16,-73.9538699,40.7988378,-73.9565551,40.7735649,1384,"green"
"Steinway","Steinway",22,-73.9124667,40.7669996,-73.9124667,40.7669996,1368,"green"
"Astoria","Astoria",12,-73.9234619,40.7643574,-73.9234619,40.7643574,1365,"green"
"Williamsburg (North Side)","Greenpoint",0,-73.9634429,40.7190424,-73.9418603,40.7245448,1362,"green"
"Williamsburg (North Side)","Williamsburg (North Side)",20,-73.9634429,40.7190424,-73.9634429,40.7190424,1350,"green"
"Williamsburg (North Side)","Williamsburg (North Side)",18,-73.9634429,40.7190424,-73.9634429,40.7190424,1340,"green"
"Williamsburg (North Side)","Williamsburg (North Side)",22,-73.9634429,40.7190424,-73.9634429,40.7190424,1317,"green"
"East Harlem North","Central Harlem",6,-73.9464769,40.8115504,-73.9538699,40.7988378,1313,"green"
"Central Harlem","Upper East Side North",18,-73.9538699,40.7988378,-73.9565551,40.7735649,1300,"green"
"Central Harlem","Bloomingdale",18,-73.9538699,40.7988378,-73.9697795,40.7988958,1293,"green"
"Williamsburg (North Side)","Greenpoint",18,-73.9634429,40.7190424,-73.9418603,40.7245448,1293,"green"
"Central Harlem","Central Harlem",22,-73.9538699,40.7988378,-73.9538699,40.7988378,1289,"green"
"Astoria","Astoria",0,-73.9234619,40.7643574,-73.9234619,40.7643574,1288,"green"
"Steinway","Steinway",16,-73.9124667,40.7669996,-73.9124667,40.7669996,1286,"green"
"Central Harlem","Yorkville East",14,-73.9538699,40.7988378,-73.9492079,40.7762231,1234,"green"
"Williamsburg (North Side)","Williamsburg (North Side)",0,-73.9634429,40.7190424,-73.9634429,40.7190424,1214,"green"
"Central Harlem","East Harlem North",6,-73.9538699,40.7988378,-73.9464769,40.8115504,1201,"green"
"Williamsburg (North Side)","Williamsburg (South Side)",2,-73.9634429,40.7190424,-73.9517335,40.7079936,1196,"green"
"East Harlem North","Hamilton Heights",12,-73.9464769,40.8115504,-73.9496079,40.8259597,1184,"green"
"Astoria","Astoria",10,-73.9234619,40.7643574,-73.9234619,40.7643574,1179,"green"
"Central Harlem","Upper East Side North",14,-73.9538699,40.7988378,-73.9565551,40.7735649,1178,"green"
"Hamilton Heights","East Harlem North",8,-73.9496079,40.8259597,-73.9464769,40.8115504,1169,"green"
"Astoria","Steinway",14,-73.9234619,40.7643574,-73.9124667,40.7669996,1158,"green"
"Elmhurst/Maspeth","Jackson Heights",16,-73.8932385,40.7395973,-73.8830701,40.7556818,1157,"green"
"East Harlem North","Yorkville East",20,-73.9464769,40.8115504,-73.9492079,40.7762231,1147,"green"
"East Harlem North","Hamilton Heights",0,-73.9464769,40.8115504,-73.9496079,40.8259597,1144,"green"
"East Harlem North","Central Harlem",0,-73.9464769,40.8115504,-73.9538699,40.7988378,1136,"green"
"Central Harlem","Yorkville East",12,-73.9538699,40.7988378,-73.9492079,40.7762231,1131,"green"
"Central Harlem","Upper East Side North",12,-73.9538699,40.7988378,-73.9565551,40.7735649,1116,"green"
"Central Harlem","Yorkville East",20,-73.9538699,40.7988378,-73.9492079,40.7762231,1108,"green"
"East Harlem North","Yorkville East",16,-73.9464769,40.8115504,-73.9492079,40.7762231,1102,"green"
"Forest Hills","Forest Hills",18,-73.8448469,40.718106,-73.8448469,40.718106,1100,"green"
"Steinway","Astoria",18,-73.9124667,40.7669996,-73.9234619,40.7643574,1086,"green"
"Steinway","Steinway",0,-73.9124667,40.7669996,-73.9124667,40.7669996,1080,"green"
"Central Harlem","Upper East Side North",10,-73.9538699,40.7988378,-73.9565551,40.7735649,1072,"green"
"Central Harlem","Yorkville East",10,-73.9538699,40.7988378,-73.9492079,40.7762231,1069,"green"
"Williamsburg (North Side)","Williamsburg (South Side)",20,-73.9634429,40.7190424,-73.9517335,40.7079936,1062,"green"
"Central Harlem","Upper West Side North",16,-73.9538699,40.7988378,-73.9753676,40.7870106,1061,"green"
"Central Harlem","Morningside Heights",8,-73.9538699,40.7988378,-73.9624327,40.8089564,1048,"green"
"Central Harlem","Bloomingdale",14,-73.9538699,40.7988378,-73.9697795,40.7988958,1045,"green"
"Morningside Heights","Upper West Side North",16,-73.9624327,40.8089564,-73.9753676,40.7870106,1035,"green"
"Central Harlem","East Harlem North",0,-73.9538699,40.7988378,-73.9464769,40.8115504,1031,"green"
"Steinway","Steinway",8,-73.9124667,40.7669996,-73.9124667,40.7669996,1016,"green"
"Steinway","Steinway",14,-73.9124667,40.7669996,-73.9124667,40.7669996,1015,"green"
"Central Harlem","Randalls Island",16,-73.9538699,40.7988378,-73.9271644,40.7891291,1011,"green"
"Elmhurst/Maspeth","Jackson Heights",2,-73.8932385,40.7395973,-73.8830701,40.7556818,1011,"green"
"East Harlem North","Bloomingdale",18,-73.9464769,40.8115504,-73.9697795,40.7988958,1008,"green"
"Steinway","Astoria",20,-73.9124667,40.7669996,-73.9234619,40.7643574,994,"green"
"Morningside Heights","East Harlem North",16,-73.9624327,40.8089564,-73.9464769,40.8115504,992,"green"
"Central Harlem","Randalls Island",18,-73.9538699,40.7988378,-73.9271644,40.7891291,984,"green"
"Williamsburg (North Side)","Long Island City/Hunters Point",22,-73.9634429,40.7190424,-73.95639,40.74128,983,"green"
"Hamilton Heights","East Harlem North",10,-73.9496079,40.8259597,-73.9464769,40.8115504,980,"green"
"Central Harlem","Upper East Side North",8,-73.9538699,40.7988378,-73.9565551,40.7735649,974,"green"
"East Harlem North","Hamilton Heights",10,-73.9464769,40.8115504,-73.9496079,40.8259597,971,"green"
"Astoria","Steinway",12,-73.9234619,40.7643574,-73.9124667,40.7669996,958,"green"
"Central Harlem","Upper West Side North",18,-73.9538699,40.7988378,-73.9753676,40.7870106,958,"green"
"Steinway","Astoria",16,-73.9124667,40.7669996,-73.9234619,40.7643574,955,"green"
"East Harlem North","Morningside Heights",10,-73.9464769,40.8115504,-73.9624327,40.8089564,952,"green"
"Astoria","Astoria",8,-73.9234619,40.7643574,-73.9234619,40.7643574,948,"green"
"Hamilton Heights","East Harlem North",16,-73.9496079,40.8259597,-73.9464769,40.8115504,944,"green"
"Steinway","Astoria",22,-73.9124667,40.7669996,-73.9234619,40.7643574,941,"green"
"Morningside Heights","Bloomingdale",16,-73.9624327,40.8089564,-73.9697795,40.7988958,934,"green"
"Forest Hills","Forest Hills",20,-73.8448469,40.718106,-73.8448469,40.718106,933,"green"
"Hamilton Heights","East Harlem North",18,-73.9496079,40.8259597,-73.9464769,40.8115504,931,"green"
"Central Harlem","Yorkville East",8,-73.9538699,40.7988378,-73.9492079,40.7762231,927,"green"
"Central Harlem","Central Harlem",6,-73.9538699,40.7988378,-73.9538699,40.7988378,923,"green"
"East Harlem North","East Harlem North",2,-73.9464769,40.8115504,-73.9464769,40.8115504,912,"green"
"East Harlem North","Manhattanville",18,-73.9464769,40.8115504,-73.9558333,40.8169443,912,"green"
"Williamsburg (North Side)","Long Island City/Hunters Point",20,-73.9634429,40.7190424,-73.95639,40.74128,909,"green"
"Elmhurst/Maspeth","Elmhurst",0,-73.8932385,40.7395973,-73.8801301,40.737975,907,"green"
"Hamilton Heights","East Harlem North",14,-73.9496079,40.8259597,-73.9464769,40.8115504,907,"green"
"Morningside Heights","Upper West Side North",18,-73.9624327,40.8089564,-73.9753676,40.7870106,897,"green"
"Williamsburg (North Side)","Bushwick North",0,-73.9634429,40.7190424,-73.9212858,40.6944282,894,"green"
"Boerum Hill","Park Slope",18,-73.9844722,40.6848689,-73.9805817,40.6681038,891,"green"
"Jackson Heights","Jackson Heights",0,-73.8830701,40.7556818,-73.8830701,40.7556818,890,"green"
"East Harlem North","Morningside Heights",16,-73.9464769,40.8115504,-73.9624327,40.8089564,882,"green"
"Jackson Heights","Jackson Heights",2,-73.8830701,40.7556818,-73.8830701,40.7556818,880,"green"
"Jackson Heights","Jackson Heights",18,-73.8830701,40.7556818,-73.8830701,40.7556818,874,"green"
"Marine Park/Floyd Bennett Field","Marine Park/Floyd Bennett Field",18,-73.9441579,40.6781784,-73.9441579,40.6781784,874,"green"
"East Harlem North","Bloomingdale",16,-73.9464769,40.8115504,-73.9697795,40.7988958,869,"green"
"Central Harlem","Bloomingdale",20,-73.9538699,40.7988378,-73.9697795,40.7988958,867,"green"
"Morningside Heights","East Harlem North",18,-73.9624327,40.8089564,-73.9464769,40.8115504,865,"green"
"Williamsburg (North Side)","Bushwick North",2,-73.9634429,40.7190424,-73.9212858,40.6944282,860,"green"
"Jackson Heights","North Corona",2,-73.8830701,40.7556818,-73.8624893,40.7502698,858,"green"
"Steinway","Steinway",10,-73.9124667,40.7669996,-73.9124667,40.7669996,854,"green"
"Astoria","Astoria",2,-73.9234619,40.7643574,-73.9234619,40.7643574,846,"green"
"Astoria","Steinway",2,-73.9234619,40.7643574,-73.9124667,40.7669996,843,"green"
"Hamilton Heights","East Harlem North",12,-73.9496079,40.8259597,-73.9464769,40.8115504,842,"green"
"East Harlem North","Upper West Side North",18,-73.9464769,40.8115504,-73.9753676,40.7870106,836,"green"
"Morningside Heights","Bloomingdale",18,-73.9624327,40.8089564,-73.9697795,40.7988958,828,"green"
"Williamsburg (South Side)","Bushwick North",0,-73.9517335,40.7079936,-73.9212858,40.6944282,824,"green"
"Elmhurst/Maspeth","Jackson Heights",14,-73.8932385,40.7395973,-73.8830701,40.7556818,823,"green"
"Williamsburg (North Side)","Williamsburg (North Side)",2,-73.9634429,40.7190424,-73.9634429,40.7190424,823,"green"
"Jackson Heights","North Corona",4,-73.8830701,40.7556818,-73.8624893,40.7502698,821,"green"
"Steinway","Astoria Park",18,-73.9124667,40.7669996,-73.9215888,40.7796684,818,"green"
"East Harlem North","Bloomingdale",20,-73.9464769,40.8115504,-73.9697795,40.7988958,814,"green"
"East Harlem North","Manhattanville",16,-73.9464769,40.8115504,-73.9558333,40.8169443,814,"green"
"Steinway","Steinway",12,-73.9124667,40.7669996,-73.9124667,40.7669996,812,"green"
"Central Harlem","Randalls Island",14,-73.9538699,40.7988378,-73.9271644,40.7891291,811,"green"
"Forest Hills","Rego Park",18,-73.8448469,40.718106,-73.8624893,40.7255722,811,"green"
"Williamsburg (North Side)","Long Island City/Hunters Point",18,-73.9634429,40.7190424,-73.95639,40.74128,808,"green"
"Williamsburg (North Side)","Williamsburg (South Side)",18,-73.9634429,40.7190424,-73.9517335,40.7079936,808,"green"
"Williamsburg (South Side)","Williamsburg (South Side)",0,-73.9517335,40.7079936,-73.9517335,40.7079936,807,"green"
"East Harlem North","Yorkville East",14,-73.9464769,40.8115504,-73.9492079,40.7762231,802,"green"
"Hamilton Heights","Hamilton Heights",18,-73.9496079,40.8259597,-73.9496079,40.8259597,802,"green"
"Jackson Heights","Jackson Heights",22,-73.8830701,40.7556818,-73.8830701,40.7556818,802,"green"
"East Harlem North","Morningside Heights",14,-73.9464769,40.8115504,-73.9624327,40.8089564,801,"green"
"Williamsburg (North Side)","Long Island City/Hunters Point",0,-73.9634429,40.7190424,-73.95639,40.74128,800,"green"
"East Harlem North","Upper East Side North",18,-73.9464769,40.8115504,-73.9565551,40.7735649,795,"green"
"Williamsburg (North Side)","Greenpoint",2,-73.9634429,40.7190424,-73.9418603,40.7245448,792,"green"
"Steinway","Astoria",8,-73.9124667,40.7669996,-73.9234619,40.7643574,789,"green"
"Williamsburg (South Side)","Bushwick North",2,-73.9517335,40.7079936,-73.9212858,40.6944282,788,"green"
"Williamsburg (North Side)","Williamsburg (North Side)",16,-73.9634429,40.7190424,-73.9634429,40.7190424,786,"green"
"Central Harlem","Upper West Side North",14,-73.9538699,40.7988378,-73.9753676,40.7870106,785,"green"
"Astoria","Steinway",10,-73.9234619,40.7643574,-73.9124667,40.7669996,784,"green"
"Park Slope","Park Slope",18,-73.9805817,40.6681038,-73.9805817,40.6681038,783,"green"
"Hamilton Heights","East Harlem North",20,-73.9496079,40.8259597,-73.9464769,40.8115504,779,"green"
"Steinway","Astoria Park",20,-73.9124667,40.7669996,-73.9215888,40.7796684,774,"green"
"East Harlem North","Hamilton Heights",8,-73.9464769,40.8115504,-73.9496079,40.8259597,771,"green"
"Forest Hills","Forest Hills",16,-73.8448469,40.718106,-73.8448469,40.718106,769,"green"
"Morningside Heights","Upper West Side North",14,-73.9624327,40.8089564,-73.9753676,40.7870106,769,"green"
"Central Harlem","Bloomingdale",12,-73.9538699,40.7988378,-73.9697795,40.7988958,766,"green"
"Manhattanville","East Harlem North",8,-73.9558333,40.8169443,-73.9464769,40.8115504,766,"green"
"Williamsburg (South Side)","Williamsburg (South Side)",22,-73.9517335,40.7079936,-73.9517335,40.7079936,766,"green"
"Boerum Hill","Park Slope",20,-73.9844722,40.6848689,-73.9805817,40.6681038,762,"green"
"Jackson Heights","Jackson Heights",20,-73.8830701,40.7556818,-73.8830701,40.7556818,761,"green"
"East Harlem North","Morningside Heights",12,-73.9464769,40.8115504,-73.9624327,40.8089564,754,"green"
"Central Harlem","Bloomingdale",10,-73.9538699,40.7988378,-73.9697795,40.7988958,752,"green"
"Park Slope","Park Slope",16,-73.9805817,40.6681038,-73.9805817,40.6681038,745,"green"
"East Harlem North","Morningside Heights",18,-73.9464769,40.8115504,-73.9624327,40.8089564,744,"green"
"Elmhurst/Maspeth","Elmhurst",22,-73.8932385,40.7395973,-73.8801301,40.737975,742,"green"
"Morningside Heights","East Harlem North",20,-73.9624327,40.8089564,-73.9464769,40.8115504,741,"green"
"Steinway","Astoria",0,-73.9124667,40.7669996,-73.9234619,40.7643574,737,"green"
"Central Harlem","Central Harlem",0,-73.9538699,40.7988378,-73.9538699,40.7988378,736,"green"
"Central Harlem","Hamilton Heights",20,-73.9538699,40.7988378,-73.9496079,40.8259597,736,"green"
"Jackson Heights","Jackson Heights",16,-73.8830701,40.7556818,-73.8830701,40.7556818,735,"green"
"Boerum Hill","Prospect Heights",18,-73.9844722,40.6848689,-73.9668408,40.6774196,733,"green"
"Marine Park/Floyd Bennett Field","Marine Park/Floyd Bennett Field",20,-73.9441579,40.6781784,-73.9441579,40.6781784,732,"green"
"East Harlem North","Manhattanville",8,-73.9464769,40.8115504,-73.9558333,40.8169443,728,"green"
"Hamilton Heights","Hamilton Heights",16,-73.9496079,40.8259597,-73.9496079,40.8259597,728,"green"
"Central Harlem","Morningside Heights",14,-73.9538699,40.7988378,-73.9624327,40.8089564,726,"green"
"East Harlem North","Manhattanville",20,-73.9464769,40.8115504,-73.9558333,40.8169443,726,"green"
"Steinway","Astoria",14,-73.9124667,40.7669996,-73.9234619,40.7643574,725,"green"
"Central Harlem","Bloomingdale",8,-73.9538699,40.7988378,-73.9697795,40.7988958,718,"green"
"East Harlem North","Yorkville East",22,-73.9464769,40.8115504,-73.9492079,40.7762231,718,"green"
"Williamsburg (North Side)","Greenpoint",16,-73.9634429,40.7190424,-73.9418603,40.7245448,713,"green"
"Central Harlem","Hamilton Heights",18,-73.9538699,40.7988378,-73.9496079,40.8259597,710,"green"
"Jackson Heights","Jackson Heights",4,-73.8830701,40.7556818,-73.8830701,40.7556818,708,"green"
"Central Harlem","Upper West Side North",10,-73.9538699,40.7988378,-73.9753676,40.7870106,707,"green"
"Central Harlem","Hamilton Heights",16,-73.9538699,40.7988378,-73.9496079,40.8259597,704,"green"
"Morningside Heights","Bloomingdale",14,-73.9624327,40.8089564,-73.9697795,40.7988958,704,"green"
"Steinway","Astoria",10,-73.9124667,40.7669996,-73.9234619,40.7643574,700,"green"
"Steinway","Astoria",12,-73.9124667,40.7669996,-73.9234619,40.7643574,698,"green"
"Marine Park/Floyd Bennett Field","Marine Park/Floyd Bennett Field",16,-73.9441579,40.6781784,-73.9441579,40.6781784,697,"green"
"Boerum Hill","Clinton Hill",18,-73.9844722,40.6848689,-73.9639021,40.6893665,696,"green"
"Central Harlem","Morningside Heights",16,-73.9538699,40.7988378,-73.9624327,40.8089564,696,"green"
"Forest Hills","Rego Park",20,-73.8448469,40.718106,-73.8624893,40.7255722,694,"green"
"Central Harlem","Randalls Island",20,-73.9538699,40.7988378,-73.9271644,40.7891291,693,"green"
"Central Harlem","Randalls Island",12,-73.9538699,40.7988378,-73.9271644,40.7891291,688,"green"
"East Harlem North","Bloomingdale",14,-73.9464769,40.8115504,-73.9697795,40.7988958,688,"green"
"Hamilton Heights","Hamilton Heights",14,-73.9496079,40.8259597,-73.9496079,40.8259597,687,"green"
"Central Harlem","Upper West Side North",8,-73.9538699,40.7988378,-73.9753676,40.7870106,684,"green"
"Astoria","Astoria Park",18,-73.9234619,40.7643574,-73.9215888,40.7796684,683,"green"
"East Harlem North","Upper West Side North",16,-73.9464769,40.8115504,-73.9753676,40.7870106,683,"green"
"East Harlem North","Manhattanville",14,-73.9464769,40.8115504,-73.9558333,40.8169443,678,"green"
"Steinway","Astoria Park",22,-73.9124667,40.7669996,-73.9215888,40.7796684,676,"green"
"Central Harlem","Morningside Heights",10,-73.9538699,40.7988378,-73.9624327,40.8089564,675,"green"
"Boerum Hill","Prospect Heights",20,-73.9844722,40.6848689,-73.9668408,40.6774196,673,"green"
"Hamilton Heights","Hamilton Heights",20,-73.9496079,40.8259597,-73.9496079,40.8259597,672,"green"
"Morningside Heights","East Harlem North",14,-73.9624327,40.8089564,-73.9464769,40.8115504,671,"green"
"Steinway","Steinway",2,-73.9124667,40.7669996,-73.9124667,40.7669996,670,"green"
"Marine Park/Floyd Bennett Field","Marine Park/Floyd Bennett Field",22,-73.9441579,40.6781784,-73.9441579,40.6781784,669,"green"
"Central Harlem","Upper West Side North",12,-73.9538699,40.7988378,-73.9753676,40.7870106,663,"green"
"East Harlem North","Yorkville East",12,-73.9464769,40.8115504,-73.9492079,40.7762231,661,"green"
"Morningside Heights","Central Harlem",16,-73.9624327,40.8089564,-73.9538699,40.7988378,657,"green"
"Hamilton Heights","Hamilton Heights",8,-73.9496079,40.8259597,-73.9496079,40.8259597,654,"green"
"Elmhurst/Maspeth","Woodside",18,-73.8932385,40.7395973,-73.9036487,40.7512123,653,"green"
"Central Harlem","Yorkville East",22,-73.9538699,40.7988378,-73.9492079,40.7762231,651,"green"
"Williamsburg (North Side)","Bushwick North",22,-73.9634429,40.7190424,-73.9212858,40.6944282,650,"green"
"Forest Hills","Forest Hills",22,-73.8448469,40.718106,-73.8448469,40.718106,649,"green"
"East Harlem North","Upper East Side North",16,-73.9464769,40.8115504,-73.9565551,40.7735649,647,"green"
"Central Harlem","Upper West Side North",20,-73.9538699,40.7988378,-73.9753676,40.7870106,643,"green"
"Forest Hills","Rego Park",22,-73.8448469,40.718106,-73.8624893,40.7255722,643,"green"
"Central Harlem","Upper East Side North",20,-73.9538699,40.7988378,-73.9565551,40.7735649,641,"green"
"Central Harlem","Hamilton Heights",22,-73.9538699,40.7988378,-73.9496079,40.8259597,640,"green"
"Boerum Hill","Boerum Hill",18,-73.9844722,40.6848689,-73.9844722,40.6848689,639,"green"
"Williamsburg (North Side)","South Williamsburg",22,-73.9634429,40.7190424,-73.9701967,40.7085692,638,"green"
"Central Harlem","Morningside Heights",18,-73.9538699,40.7988378,-73.9624327,40.8089564,636,"green"
"Central Harlem","Morningside Heights",12,-73.9538699,40.7988378,-73.9624327,40.8089564,635,"green"
"Downtown Brooklyn/MetroTech","Fort Greene",18,-73.9861433,40.6942409,-73.9741874,40.6920638,632,"green"
"Manhattanville","East Harlem North",16,-73.9558333,40.8169443,-73.9464769,40.8115504,631,"green"
"Hamilton Heights","Hamilton Heights",10,-73.9496079,40.8259597,-73.9496079,40.8259597,629,"green"
"Morningside Heights","Morningside Heights",16,-73.9624327,40.8089564,-73.9624327,40.8089564,628,"green"
"Williamsburg (North Side)","South Williamsburg",20,-73.9634429,40.7190424,-73.9701967,40.7085692,628,"green"
"Fort Greene","Clinton Hill",18,-73.9741874,40.6920638,-73.9639021,40.6893665,623,"green"
"Brooklyn Heights","Cobble Hill",18,-73.9932872,40.6960105,-73.9962255,40.686536,622,"green"
"Boerum Hill","Prospect Heights",22,-73.9844722,40.6848689,-73.9668408,40.6774196,619,"green"
"Williamsburg (South Side)","Williamsburg (South Side)",2,-73.9517335,40.7079936,-73.9517335,40.7079936,619,"green"
"Williamsburg (South Side)","Greenpoint",0,-73.9517335,40.7079936,-73.9418603,40.7245448,618,"green"
"Manhattanville","East Harlem North",18,-73.9558333,40.8169443,-73.9464769,40.8115504,615,"green"
"Astoria","Astoria Park",20,-73.9234619,40.7643574,-73.9215888,40.7796684,613,"green"
"Williamsburg (North Side)","South Williamsburg",18,-73.9634429,40.7190424,-73.9701967,40.7085692,608,"green"
"Randalls Island","Central Harlem",8,-73.9271644,40.7891291,-73.9538699,40.7988378,606,"green"
"Central Harlem","Bloomingdale",22,-73.9538699,40.7988378,-73.9697795,40.7988958,604,"green"
"Hamilton Heights","Hamilton Heights",22,-73.9496079,40.8259597,-73.9496079,40.8259597,604,"green"
"Williamsburg (South Side)","Stuyvesant Heights",0,-73.9517335,40.7079936,-73.9330981,40.6882279,604,"green"
"Boerum Hill","Park Slope",22,-73.9844722,40.6848689,-73.9805817,40.6681038,603,"green"
"East Harlem North","Randalls Island",18,-73.9464769,40.8115504,-73.9271644,40.7891291,603,"green"
"Jackson Heights","Jackson Heights",14,-73.8830701,40.7556818,-73.8830701,40.7556818,601,"green"
"Elmhurst/Maspeth","Corona",0,-73.8932385,40.7395973,-73.8642613,40.7449859,597,"green"
"Elmhurst/Maspeth","Woodside",22,-73.8932385,40.7395973,-73.9036487,40.7512123,596,"green"
